EQID,Mw,SoF,Dip,RJB,VS30,PGV_geo
644,4.8,S,82.0,97.26502554,286.0,0.055241034
448,4.0,S,53.0,114.962781,309.0,0.021976461
589,4.2,S,80.0,102.1067511,907.0,0.00345996
432,4.0,N,41.0,88.47172391,549.0,0.012997966
374,4.2,S,60.0,61.37397769,532.0,0.073484682
411,4.0,S,51.0,88.38424721,415.0,0.046321239
385,6.6,N,37.0,184.63,205.0,1.360886642
373,3.9,N,39.0,64.57512459,414.0,0.014344952
8638,5.1,N,47.0,146.0,562.0,0.020710013
569,4.1,S,54.0,38.02918541,558.0,0.080840149
97,5.1,S,72.0,104.6654986,469.0,0.052077487
9228,4.0,S,65.0,95.0,484.0,0.00757386
483,4.3,S,60.0,118.2513604,375.0,0.011736918
9154,5.0,S,81.0,180.0,936.0,0.042096551
301,4.0,N,37.0,44.75620437,1080.0,0.03382247
498,4.2,S,72.0,91.26972857,273.0,0.046974205
583,4.5,S,84.0,27.55044486,407.0,0.225898538
414,4.1,S,66.0,70.19912257,234.0,0.036667136
9239,4.5,R,80.0,102.0,430.0,0.019039992
9248,4.4,S,77.0,84.0,463.0,0.072341705
157,4.0,S,87.0,14.61128768,304.0,0.111606759
627,5.0,S,67.0,123.3279367,1141.0,0.059814818
8442,5.2,N,42.0,97.0,1005.0,0.131714637
390,4.2,N,55.0,103.4965535,369.0,0.011458454
378,4.2,N,39.0,84.10481242,340.0,0.023823225
597,4.1,S,58.0,90.57711221,286.0,0.04875427
9223,4.0,S,46.0,56.0,280.0,0.012847349
9161,4.8,R,72.0,66.0,305.0,0.260234912
461,4.0,S,64.0,87.89793642,472.0,0.007393367
9209,4.8,N,60.0,30.0,965.0,0.345804112
629,4.1,S,59.0,68.97653223,654.0,0.044755691
328,4.4,N,44.0,145.9513292,414.0,0.015196719
216,4.7,S,84.0,141.9792443,284.0,0.011252717
435,4.7,N,41.0,172.2841139,875.0,0.012377043
225,4.8,N,38.0,142.2842436,286.0,0.040640899
8510,5.0,N,44.0,135.0,986.0,0.020896695
421,4.8,N,42.0,155.4197261,358.0,0.043231223
8878,4.6,N,53.0,68.0,1010.0,0.037475675
567,5.6,S,59.0,166.1751633,377.0,0.45069629
242,4.2,N,40.0,109.6021853,283.0,0.052567119
449,4.0,S,70.0,24.82956541,663.0,0.234048216
425,4.0,S,83.0,43.20421617,696.0,0.01655627
457,5.0,S,77.0,66.09381771,555.0,0.309952684
9234,4.3,N,62.0,126.0,460.0,0.0194566
9229,4.0,N,63.0,55.0,528.0,0.023390312
380,4.9,N,36.0,55.03052807,532.0,0.235509058
643,4.7,S,80.0,192.7877831,428.0,0.098254364
8553,4.2,S,88.0,112.0,272.0,0.031287157
659,5.2,N,33.0,59.17757724,827.0,0.259953653
8729,4.7,S,77.0,89.0,907.0,0.009624285
666,4.4,S,76.0,9.822845045,1380.0,0.315881943
534,4.4,N,70.0,60.93509788,303.0,0.056484493
676,4.2,R,48.0,42.51692632,315.0,0.032315094
558,4.7,S,62.0,123.1456801,875.0,0.066604428
162,4.8,R,37.0,169.8776002,450.0,0.037915783
581,4.3,S,57.0,113.6239058,875.0,0.011051693
665,5.6,S,76.0,165.4125416,484.0,0.097078298
614,4.4,N,63.0,91.47363218,459.0,0.033952349
366,6.3,N,42.0,156.79,460.0,1.309822751
678,4.5,S,82.0,187.9889529,347.0,0.00778994
704,4.0,N,55.0,62.31647017,131.0,0.020912653
259,4.2,S,89.0,67.74423378,444.0,0.029554934
616,4.3,S,84.0,89.27897714,205.0,0.174545473
553,4.6,R,52.0,83.18619375,1323.0,0.026278972
306,4.0,N,36.0,76.18904992,234.0,0.096614338
8484,4.2,N,69.0,129.0,359.0,0.020855618
248,3.9,S,37.0,121.3665683,403.0,0.023616042
18,7.6,S,87.0,119.63,341.56,2.172004406
571,4.0,S,62.0,92.76686098,131.0,0.035192513
379,5.2,S,79.0,73.70445633,745.0,0.528904498
684,7.0,N,43.0,85.33,694.0,1.403456182
9223,4.0,S,46.0,82.0,484.0,0.007030384
410,4.7,N,29.0,79.33936168,580.0,0.045655815
657,4.2,S,76.0,26.26837197,1076.0,0.064075166
8444,4.8,N,57.0,97.0,403.0,0.303441923
356,5.0,N,39.0,147.1582933,323.0,0.084984623
457,5.0,S,77.0,133.1878731,407.0,0.131822477
524,5.2,S,86.0,123.9129241,376.0,0.309656358
742,4.1,N,15.0,100.0537382,278.0,0.007095066
713,4.5,N,55.0,64.2705942,771.0,0.035523202
575,4.2,S,52.0,151.9475625,555.0,0.012962144
77,4.4,S,57.0,81.9613895,267.0,0.171811891
9221,4.5,S,83.0,195.0,528.0,0.006646662
573,4.1,S,66.0,87.14952126,270.0,0.017701474
8496,4.5,N,60.0,87.0,278.0,0.014748312
258,4.2,N,33.0,24.28855569,372.0,1.537882123
188,4.3,S,77.0,111.3231718,304.0,0.041323455
518,4.3,N,74.0,34.79754559,367.0,0.173140045
105,5.1,N,49.0,189.7395096,282.0,0.076224094
553,4.6,R,52.0,117.9432667,206.0,0.071854459
388,4.6,N,55.0,153.1911854,415.0,0.011285561
150,3.7,R,67.0,73.75112695,530.0,0.017172122
9182,4.4,S,78.0,58.0,450.0,0.100722177
360,4.6,N,47.0,127.1067242,986.0,0.024752646
583,4.5,S,84.0,183.1412418,709.0,0.008142364
576,4.5,S,89.0,83.37595993,348.0,0.049425193
362,4.3,N,55.0,20.68497776,229.0,0.894254522
520,5.0,N,52.0,117.3065437,580.0,0.259219412
378,4.2,N,39.0,140.7182151,324.0,0.0271614
585,4.0,S,83.0,130.001602,444.0,0.005427006
230,4.2,S,59.0,56.83635739,1323.0,0.023001062
388,4.6,N,55.0,58.44836099,278.0,0.045630263
425,4.0,S,83.0,31.23778592,694.0,0.070695306
597,4.1,S,58.0,96.39900864,745.0,0.024861214
551,5.7,S,60.0,107.3878991,280.0,0.925442067
719,4.2,N,55.0,79.48036929,307.0,0.044024338
733,5.6,S,34.0,188.3127555,367.0,0.087059158
464,3.8,S,87.0,44.16805206,391.0,0.06285384
105,5.1,N,49.0,136.8474007,301.0,0.238235904
274,3.7,S,39.0,56.74044172,424.0,0.033854167
473,4.8,N,61.0,110.856937,390.0,0.05758257
8915,6.1,S,77.0,129.0,304.0,0.890246748
497,4.2,S,74.0,156.3919942,280.0,0.005306669
331,5.6,S,63.0,173.9322395,489.0,0.141997596
418,5.0,N,34.0,45.8102237,278.0,0.066817672
8825,4.3,S,70.0,85.0,192.0,0.211155548
316,4.1,S,44.0,139.0924577,459.0,0.009364597
532,4.4,S,86.0,65.06552135,541.0,0.035910364
650,4.0,N,55.0,132.0785095,305.0,0.014775424
396,4.2,N,55.0,168.4536465,131.0,0.014847787
202,4.3,S,77.0,115.9362037,283.0,0.05075298
8994,7.8,S,70.0,3.1,272.0,153.4821705
382,4.1,S,83.0,74.65232383,468.0,0.023450638
9,5.2,N,46.0,5.386202215,198.0,8.899946203
650,4.0,N,55.0,97.63520339,539.0,0.010266576
8725,4.6,S,77.0,83.0,252.0,0.197746891
535,4.1,N,63.0,174.9390222,248.0,0.033153588
397,4.7,N,48.0,154.0925713,248.0,0.0822672
636,5.1,S,85.0,192.7467285,356.0,0.06634865
659,5.2,N,33.0,59.8004366,238.0,0.843660334
373,3.9,N,39.0,66.31498732,460.0,0.01538929
695,4.7,N,41.0,87.80658633,694.0,0.085988652
684,7.0,N,43.0,43.59,532.0,7.988282454
524,5.2,S,86.0,77.98174715,660.0,0.228381494
9097,4.3,R,26.0,135.0,1072.0,0.007856526
223,4.5,S,54.0,17.49971105,381.0,0.192264871
536,4.7,S,89.0,127.007852,608.0,0.065770895
8934,3.8,N,65.0,66.0,771.0,0.005960025
221,3.9,S,65.0,33.65887364,414.0,0.121712888
677,4.1,S,87.0,97.15576394,407.0,0.01547315
715,4.9,N,55.0,90.23713642,323.0,0.044451118
8785,4.3,S,69.0,109.0,340.0,0.083219674
662,4.3,N,27.0,134.8396897,986.0,0.00979501
629,4.1,S,59.0,198.6506984,428.0,0.024218846
653,4.7,S,89.0,22.89902506,356.0,0.613420077
88,4.4,S,61.0,76.32030179,313.0,0.195634437
327,4.6,N,43.0,150.7814831,468.0,0.021046357
639,4.7,N,50.0,98.1939859,271.0,0.121315856
