EQID,Mw,SoF,Dip,RJB,VS30,PGV_geo
221,3.9,S,65.0,73.59075353,229.0,0.05898774
486,4.0,R,66.0,89.46051852,1113.0,0.01061576
493,4.0,N,65.0,175.7531785,336.0,0.02839504
308,3.7,S,65.0,87.16098309,1380.0,0.003819917
364,4.2,N,53.0,129.8302966,986.0,0.011593733
364,4.2,N,53.0,117.5174095,561.0,0.01897248
8933,4.2,S,82.0,78.0,538.0,0.072151769
475,4.1,N,40.0,53.56999287,555.0,0.066819721
340,4.1,S,79.0,48.1140726,375.0,0.089282565
221,3.9,S,65.0,133.2581465,629.0,0.010349532
210,3.8,N,39.0,51.43105159,300.0,0.006589629
736,4.0,N,55.0,73.1183073,459.0,0.025597449
8785,4.3,S,69.0,98.0,328.0,0.071118163
9135,4.2,S,82.0,143.0,207.0,0.017996809
711,4.0,N,55.0,76.97373509,205.0,0.04273207
485,4.1,N,43.0,37.19582358,298.0,0.138696217
557,4.0,S,90.0,92.35954935,375.0,0.01852947
728,4.1,N,55.0,70.24597758,313.0,0.158134059
220,4.0,S,81.0,30.69343728,827.0,0.054240948
159,4.4,S,81.0,93.33915499,612.0,0.046662989
443,4.1,N,45.0,45.54604465,567.0,0.052055469
339,3.8,S,87.0,134.0055749,372.0,0.008788929
359,3.8,N,49.0,75.88188641,745.0,0.013947002
706,4.1,N,55.0,94.6556971,340.0,0.014808031
274,3.7,S,39.0,80.06479493,715.0,0.004505449
202,4.3,S,77.0,102.0119161,459.0,0.166349145
8658,4.0,N,35.0,91.0,948.0,0.009224518
335,4.1,S,70.0,134.1852882,412.0,0.019534803
513,4.2,S,66.0,167.6804118,314.0,0.006904965
321,3.8,S,58.0,85.14383099,193.0,0.027399404
268,4.1,S,88.0,62.88743783,528.0,0.088681622
287,3.6,S,53.0,57.14993714,463.0,0.024711581
650,4.0,N,55.0,85.38629553,346.0,0.019806289
458,4.3,N,43.0,51.8699743,390.0,0.027172743
585,4.0,S,83.0,183.2969561,709.0,0.004007076
672,4.0,S,90.0,71.12508642,860.0,0.016161572
732,3.9,N,70.0,19.87845236,407.0,0.63114668
141,4.0,S,48.0,10.52897897,484.0,0.254159464
239,4.2,S,76.0,55.06179883,484.0,0.040719048
8484,4.2,N,69.0,76.0,599.0,0.015779596
9247,4.4,N,40.0,47.0,186.0,0.193267311
464,3.8,S,87.0,117.0153806,543.0,0.027291074
460,4.1,N,81.0,46.10302379,483.0,0.047808398
441,4.0,N,18.0,99.48538055,317.0,0.016768107
614,4.4,N,63.0,101.3381397,771.0,0.014828123
239,4.2,S,76.0,49.92476778,280.0,0.140857508
589,4.2,S,80.0,104.9650261,654.0,0.007457773
95,4.3,S,89.0,67.0369774,205.0,0.118045671
8825,4.3,S,70.0,43.0,330.0,0.152580187
349,4.0,S,47.0,114.620207,460.0,0.014774002
8744,4.0,S,63.0,124.0,662.0,0.019862953
8934,3.8,N,65.0,60.0,694.0,0.043911488
474,4.4,N,41.0,92.87461523,171.0,0.100114428
8735,3.8,S,80.0,49.0,484.0,0.024364846
155,4.0,N,62.0,21.7093508,304.0,0.218576766
276,4.2,N,48.0,30.69250227,460.0,0.112856497
